Winners,W/L Percentage,Home W/L
Anaheim Ducks,51.22,48.78
Atlanta Thrashers,42.68,43.9
Boston Bruins,64.63,70.73
Buffalo Sabres,50.0,56.1
Calgary Flames,56.1,65.85
Carolina Hurricanes,54.88,63.41
Chicago Blackhawks,56.1,58.54
Colorado Avalanche,39.02,43.9
Columbus Blue Jackets,50.0,60.98
Dallas Stars,43.9,48.78
Detroit Red Wings,62.2,65.85
Edmonton Oilers,46.34,43.9
Florida Panthers,50.0,53.66
Los Angeles Kings,41.46,43.9
Minnesota Wild,48.78,56.1
Montreal Canadiens,50.0,58.54
Nashville Predators,48.78,58.54
New Jersey Devils,62.2,68.29
New York Islanders,31.71,41.46
New York Rangers,52.44,63.41
Ottawa Senators,43.9,53.66
Philadelphia Flyers,53.66,58.54
Phoenix Coyotes,43.9,56.1
Pittsburgh Penguins,54.88,60.98
San Jose Sharks,64.63,78.05
St. Louis Blues,50.0,56.1
Tampa Bay Lightning,29.27,29.27
Toronto Maple Leafs,41.46,39.02
Vancouver Canucks,54.88,58.54
Washington Capitals,60.98,70.73
