league,team,altitude,win_pct_1,home_win_pct_1,similar_opp_home_1,win_pct_2,home_win_pct_2,similar_opp_home_2,win_pct_3,home_win_pct_3,similar_opp_home_3,win_pct_4,home_win_pct_4,similar_opp_home_4,win_pct_5,home_win_pct_5,similar_opp_home_5
NFL,New Orleans Saints,3,,,,,,,,,,,,,,,
NFL,New York Jets,7,,,,,,,,,,,,,,,
NFL,New York Giants,7,,,,,,,,,,,,,,,
NFL,Miami Dolphins,10,,,,,,,,,,,,,,,
NFL,Balitmore Ravens,0,,,,,,,,,,,,,,,
NFL,Seattle Seahawks,16,,,,,,,,,,,,,,,
NFL,Jacksonville Jaguars,16,,,,,,,,,,,,,,,
NFL,San Francisco 49ers,26,,,,,,,,,,,,,,,
NFL,Philadelphia Eagles,39,,,,,,,,,,,,,,,
NFL,Oakland Raiders,43,,,,,,,,,,,,,,,
NFL,Houston Texans,49,,,,,,,,,,,,,,,
NFL,San Diego Chargers,52,,,,,,,,,,,,,,,
NFL,Tampa Bay Buccaneers,52,,,,,,,,,,,,,,,
NFL,Washington Redskins,207,,,,,,,,,,,,,,,
NFL,New England Patriots,286,,,,,,,,,,,,,,,
NFL,St. Louis Rams,466,,,,,,,,,,,,,,,
NFL,Cincinnati Bengals,482,,,,,,,,,,,,,,,
NFL,Cleveland Browns,580,,,,,,,,,,,,,,,
NFL,Chicago Bears,590,,,,,,,,,,,,,,,
NFL,Tennessee Titans,597,,,,,,,,,,,,,,,
NFL,Detroit Lions,600,,,,,,,,,,,,,,,
NFL,Dallas Cowboys,604,,,,,,,,,,,,,,,
NFL,Green Bay Packers,640,,,,,,,,,,,,,,,
NFL,Pittsburgh Steelers,712,,,,,,,,,,,,,,,
NFL,Indianapolis Colts,715,,,,,,,,,,,,,,,
NFL,Carolina Panthers,751,,,,,,,,,,,,,,,
NFL,Minnesota Vikings,849,,,,,,,,,,,,,,,
NFL,Buffalo Bills,866,,,,,,,,,,,,,,,
NFL,Kansas City Chiefs,889,,,,,,,,,,,,,,,
NFL,Atlanta Falcons,997,,,,,,,,,,,,,,,
NFL,Arizona Cardinals,1070,,,,,,,,,,,,,,,
NFL,Denver Broncos,5280,,,,,,,,,,,,,,,
